groupDegree,probabilities
4,"[ 5/12, 23/24, 1 ]"
5,"[ 7/20, 119/120, 1 ]"
6,"[ 11/60, 347/360, 1 ]"
7,"[ 143/1680, 2291/2520, 1 ]"
8,"[ 617/20160, 4141/5040, 40319/40320, 1 ]"
9,"[ 1549/181440, 7079/11340, 181043/181440, 1 ]"
10,"[ 1733/907200, 65663/181440, 298759/302400, 3628799/3628800, 1 ]"
11,"[ 14137/39916800, 3322453/19958400, 6235903/6652800, 1900703/1900800, 1 ]"
12,"[ 637/11404800, 406447/6652800, 21851273/26611200, 39899483/39916800, 479001599/479001600, 1 ]"
13,"[ 7939/1037836800, 12465647/691891200, 191924617/311351040, 147686971/148262400, 622701643/622702080, 1 ]"
14,"[ 6719/7264857600, 47457547/10897286400, 1827777961/4843238400, 85470940069/87178291200, 87177485119/87178291200, 87178291199/87178291200, 1 ]"
15,"[ 14533/145297152000, 1153437709/1307674368000, 61360787647/326918592000, 151306881637/163459296000, 435837271543/435891456000, 1307674359703/1307674368000, 1 ]"
16,"[ 11369/1162377216000, 798842809/5230697472000, 312835353707/4184557977600, 16864193776589/20922789888000, 20901787334443/20922789888000, 20922787281917/20922789888000, 20922789887999/20922789888000, 1 ]"
17,"[ 14107/16167610368000, 2044843403/88921857024000, 4254303155051/177843714048000, 1290361094621/2117187072000, 35358475884257/35568742809600, 88921658151913/88921857024000, 2195601407911/2195601408000, 1 ]"
18,"[ 10411/145508493312000, 188062859/61561285632000, 143217578281/22865620377600, 309789308370359/800296713216000, 1558940009403757/1600593426432000, 9527076879517/9527341824000, 533531141534129/533531142144000, 6402373705727999/6402373705728000, 1 ]"
19,"[ 94319/17377871486976000, 22041437333/60822550204416000, 27803255865841/20274183401472000, 4058059601340683/20274183401472000, 18579506432412811/20274183401472000, 4677540924574919/4678657708032000, 2432901944408371/2432902008176640, 17377871486972653/17377871486976000, 1 ]"
20,"[ 35837/93573154160640000, 11793537073/304112751022080000, 207726833720381/810967336058880000, 3137093985114941/38014093877760000, 17257268362372769/21722339358720000, 101206216367298509/101370917007360000, 353876486899861/353876655734784, 608225502039566393/608225502044160000, 2432902008176639999/2432902008176640000, 1 ]"
21,"[ 215087/8515157028618240000, 21436385203/5676771352412160000, 799923713509/19265061150720000, 348963483851841959/12772735542927360000, 3871546927211642603/6386367771463680000, 12669805101263699/12772735542927360, 24946609972550113/24946749107280000, 2838385675601251733/2838385676206080000, 25545471085854701939/25545471085854720000, 1 ]"
22,"[ 146467/93666727314800640000, 526193363/1561112121913344000, 1332249556753783/224800145555521536000, 132262025028193237/17841281393295360000, 145894195252200987497/374666909259202560000, 272245709601130400711/281000181944401920000, 1123939176318650727419/1124000727777607680000, 112400072171138049281/112400072777760768000, 374666909259188519357/374666909259202560000, 1124000727777607679999/1124000727777607680000, 1 ]"
23,"[ 785903/8617338912961658880000, 717568175801/25852016738884976640000, 6496185696738377/8617338912961658880000, 33621586426294039/19947543780003840000, 23219888187576485753/115410789012879360000, 451377752504391547619/497154168055480320000, 1987823532539049825857/1988616672221921280000, 201968863814212381543/201968880772538880000, 453544153313196072037/453544153313771520000, 1723467782592331772441/1723467782592331776000, 1 ]"
24,"[ 519923/103408066955539906560000, 328916156857/155112100433309859840000, 26784551826141467/310224200866619719680000, 15631859151179696693/47726800133326110720000, 5122352330263156333853/62044840173323943936000, 10830181878102810374993/13787742260738654208000, 2251050488984012345761/2256176006302688870400, 41363180520874756463407/41363226782215962624000, 103408066951088770372321/103408066955539906560000, 68938711303693261087961/68938711303693271040000, 620448401733239439359999/620448401733239439360000, 1 ]"
25,"[ 52259/198861667222192128000000, 585638380051/3877802510832746496000000, 7739452707319309/861733891296165888000000, 9428800159542984559/170452857619021824000000, 423386010542473130172071/15511210043330985984000000, 1158920102576485197845821/1938901255416373248000000, 236200321612750308641341/238634000666630553600000, 5170344354763963877988049/5170403347776995328000000, 7755605014912326141360227/7755605021665492992000000, 149146250416643236577549/149146250416644096000000, 1107943574523641855994557/1107943574523641856000000, 1 ]"
26,"[ 188059/14403266468807344128000000, 933221227/92668074707400192000000, 49252917830879153/57613065875229376512000000, 184494362198527751221/22405081173700313088000000, 99983854384177727917871/13443048704220187852800000, 2103088981900124422177781/5601270293425078272000000, 388882771973098496963543579/403291461126605635584000000, 201627428280417378139217953/201645730563302817792000000, 6401451667641850801970951/6401451763914375168000000, 80658292225300699041867331/80658292225321127116800000, 16803810880275234808549253/16803810880275234816000000, 403291461126605635583999999/403291461126605635584000000, 1 ]"
27,"[ 6731129/10888869450418352160768000000, 3436283318249/5444434725209176080384000000, 8327039884934159/111110912759370940416000000, 188953505949766986437/172839197625688129536000000, 1859189977500019763165081/1088886945041835216076800000, 2040372956467999438004704939/10888869450418352160768000000, 3267329562143863877116118321/3629623150139450720256000000, 2720625438021432339438530873/2722217362604588040192000000, 10888867195618974759270873451/10888869450418352160768000000, 38206559474902504487251391/38206559475152112844800000, 777776389315596566891589421/777776389315596582912000000, 10888869450418352160767894347/10888869450418352160768000000, 1 ]"
